worker_id,label,reward_12m_105,reward_12m_185,reward_12m_25,reward_12m_265,reward_12m_345,reward_12m_425,reward_12m_505,reward_6m_105,reward_6m_185,reward_6m_25,reward_6m_265,reward_6m_345,reward_6m_425,reward_6m_505
434923,0,60,65,60,60,60,60,60,60,60,60,60,60,60,60
434926,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434927,0,65,65,65,65,65,65,65,65,65,65,65,65,65,65
434928,1,60,15,25,35,5,0,0,0,65,25,35,55,25,45
434930,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434931,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434932,0,95,0,75,135,155,75,95,195,115,75,135,255,375,0
434934,0,55,50,55,45,50,45,45,55,50,50,55,55,57,55
434935,1,45,35,55,35,55,25,45,45,15,55,35,55,75,45
434936,1,45,15,35,10,25,25,45,45,15,35,15,30,25,45
434937,1,0,0,0,0,0,0,0,0,0,0,0,-45,-50,0
434940,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434941,0,70,60,60,60,60,60,60,60,60,60,60,60,60,60
434942,1,60,40,35,35,15,75,25,25,40,75,60,55,75,25
434943,0,65,65,60,85,70,75,75,65,65,75,85,65,75,70
434944,0,60,-65,60,60,60,60,60,60,60,60,60,60,60,60
434945,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434946,1,45,35,55,35,30,25,45,45,-55,60,35,40,25,45
434947,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434949,1,45,30,45,30,30,30,30,45,45,50,35,40,35,45
434952,0,60,60,60,170,60,60,60,60,60,60,60,60,60,60
434953,1,60,60,60,60,60,60,60,60,-183,60,65,60,60,60
434954,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434955,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434957,0,55,55,55,50,150,50,40,55,55,55,55,55,50,45
434958,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434959,0,55,55,55,45,55,75,55,60,55,55,35,45,75,60
434960,0,70,65,75,85,155,175,70,65,65,75,135,80,125,70
434961,0,60,60,60,60,55,60,60,60,60,60,60,60,60,60
434962,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434963,0,59,57,49,55,55,55,55,59,58,49,55,55,55,58
434964,0,65,65,65,65,65,65,65,65,65,65,65,65,65,65
434966,1,55,45,60,45,45,25,45,45,65,60,50,50,25,45
434967,0,75,115,75,135,90,125,195,135,85,75,110,105,95,95
434968,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434971,0,60,65,60,60,60,125,95,60,65,60,85,60,65,60
434974,1,45,55,60,45,45,45,45,50,65,60,50,55,-25,45
434976,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434977,1,60,60,60,60,60,60,0,60,0,60,60,60,0,60
434978,0,55,50,60,45,45,45,40,55,50,60,50,45,45,40
434979,1,55,50,55,45,45,35,35,45,50,55,35,45,35,40
434980,0,75,65,75,85,155,125,95,95,115,75,85,155,75,95
434981,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434982,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434983,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434984,0,60,60,55,60,55,55,45,60,55,55,60,55,55,55
434985,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434986,1,45,35,35,30,45,35,35,35,45,45,40,35,35,35
434988,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434989,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434990,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434992,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
434993,1,20,40,45,35,30,25,15,45,40,45,35,35,25,20
434995,1,45,15,25,35,55,75,45,45,65,25,35,5,75,45
434996,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
