worker_id,reward_12_105,reward_12_185,reward_12_25,reward_12_265,reward_12_345,reward_12_425,reward_12_505,reward_6_105,reward_6_185,reward_6_25,reward_6_265,reward_6_345,reward_6_425,reward_6_505,label_kmeans,label_gmm
434923,60,65,60,60,60,60,60,60,60,60,60,60,60,60,1,1
434926,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
434927,65,65,65,65,65,65,65,65,65,65,65,65,65,65,1,0
434928,60,15,25,35,5,0,0,0,65,25,35,55,25,45,0,0
434930,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
434931,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
434932,95,0,75,135,155,75,95,195,115,75,135,255,375,0,1,1
434934,55,50,55,45,50,45,45,55,50,50,55,55,57,55,1,0
434935,45,35,55,35,55,25,45,45,15,55,35,55,75,45,0,0
434936,45,15,35,10,25,25,45,45,15,35,15,30,25,45,0,0
434937,0,0,0,0,0,0,0,0,0,0,0,-45,-50,0,0,0
434940,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
434941,70,60,60,60,60,60,60,60,60,60,60,60,60,60,1,0
434942,60,40,35,35,15,75,25,25,40,75,60,55,75,25,0,0
434943,65,65,60,85,70,75,75,65,65,75,85,65,75,70,1,0
434944,60,-65,60,60,60,60,60,60,60,60,60,60,60,60,1,1
434945,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
434946,45,35,55,35,30,25,45,45,-55,60,35,40,25,45,0,0
434947,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
434949,45,30,45,30,30,30,30,45,45,50,35,40,35,45,0,0
434952,60,60,60,170,60,60,60,60,60,60,60,60,60,60,1,1
434953,60,60,60,60,60,60,60,60,-183,60,65,60,60,60,0,0
434954,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
434955,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
434957,55,55,55,50,150,50,40,55,55,55,55,55,50,45,1,1
434958,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
434959,55,55,55,45,55,75,55,60,55,55,35,45,75,60,1,0
434960,70,65,75,85,155,175,70,65,65,75,135,80,125,70,1,1
434961,60,60,60,60,55,60,60,60,60,60,60,60,60,60,1,0
434962,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
434963,59,57,49,55,55,55,55,59,58,49,55,55,55,58,1,0
