,worker_id,label,reward,value_surplus,seq_length,front_amount
0,434923,0,reward_12m_105,60,12m,105
1,434926,0,reward_12m_105,60,12m,105
2,434927,0,reward_12m_105,65,12m,105
3,434928,1,reward_12m_105,60,12m,105
4,434930,0,reward_12m_105,60,12m,105
5,434931,0,reward_12m_105,60,12m,105
6,434932,0,reward_12m_105,95,12m,105
7,434934,0,reward_12m_105,55,12m,105
8,434935,1,reward_12m_105,45,12m,105
9,434936,1,reward_12m_105,45,12m,105
10,434937,1,reward_12m_105,0,12m,105
11,434940,0,reward_12m_105,60,12m,105
12,434941,0,reward_12m_105,70,12m,105
13,434942,1,reward_12m_105,60,12m,105
14,434943,0,reward_12m_105,65,12m,105
15,434944,0,reward_12m_105,60,12m,105
16,434945,0,reward_12m_105,60,12m,105
17,434946,1,reward_12m_105,45,12m,105
18,434947,0,reward_12m_105,60,12m,105
19,434949,1,reward_12m_105,45,12m,105
20,434952,0,reward_12m_105,60,12m,105
21,434953,1,reward_12m_105,60,12m,105
22,434954,0,reward_12m_105,60,12m,105
23,434955,0,reward_12m_105,60,12m,105
24,434957,0,reward_12m_105,55,12m,105
25,434958,0,reward_12m_105,60,12m,105
26,434959,0,reward_12m_105,55,12m,105
27,434960,0,reward_12m_105,70,12m,105
28,434961,0,reward_12m_105,60,12m,105
29,434962,0,reward_12m_105,60,12m,105
30,434963,0,reward_12m_105,59,12m,105
31,434964,0,reward_12m_105,65,12m,105
32,434966,1,reward_12m_105,55,12m,105
33,434967,0,reward_12m_105,75,12m,105
34,434968,0,reward_12m_105,60,12m,105
35,434971,0,reward_12m_105,60,12m,105
36,434974,1,reward_12m_105,45,12m,105
37,434976,0,reward_12m_105,60,12m,105
38,434977,1,reward_12m_105,60,12m,105
39,434978,0,reward_12m_105,55,12m,105
40,434979,1,reward_12m_105,55,12m,105
41,434980,0,reward_12m_105,75,12m,105
42,434981,0,reward_12m_105,60,12m,105
43,434982,0,reward_12m_105,60,12m,105
44,434983,0,reward_12m_105,60,12m,105
45,434984,0,reward_12m_105,60,12m,105
46,434985,0,reward_12m_105,60,12m,105
47,434986,1,reward_12m_105,45,12m,105
48,434988,0,reward_12m_105,60,12m,105
49,434989,0,reward_12m_105,60,12m,105
50,434990,0,reward_12m_105,60,12m,105
51,434992,0,reward_12m_105,60,12m,105
52,434993,1,reward_12m_105,20,12m,105
53,434995,1,reward_12m_105,45,12m,105
54,434996,0,reward_12m_105,60,12m,105
55,434997,0,reward_12m_105,60,12m,105
56,434998,1,reward_12m_105,45,12m,105
57,434999,0,reward_12m_105,60,12m,105
58,435000,0,reward_12m_105,60,12m,105
59,435002,0,reward_12m_105,60,12m,105
60,435003,1,reward_12m_105,60,12m,105
61,435004,0,reward_12m_105,45,12m,105
62,435005,0,reward_12m_105,50,12m,105
63,435008,1,reward_12m_105,40,12m,105
64,435009,0,reward_12m_105,95,12m,105
65,435010,0,reward_12m_105,60,12m,105
66,435011,0,reward_12m_105,95,12m,105
67,435013,0,reward_12m_105,57,12m,105
68,435015,0,reward_12m_105,60,12m,105
69,435016,0,reward_12m_105,60,12m,105
70,435017,0,reward_12m_105,60,12m,105
71,435018,0,reward_12m_105,60,12m,105
72,435019,1,reward_12m_105,45,12m,105
73,435020,0,reward_12m_105,50,12m,105
74,435021,0,reward_12m_105,55,12m,105
75,435022,1,reward_12m_105,45,12m,105
76,435024,1,reward_12m_105,45,12m,105
77,435026,1,reward_12m_105,15,12m,105
78,435027,0,reward_12m_105,60,12m,105
79,435028,0,reward_12m_105,60,12m,105
80,435029,0,reward_12m_105,60,12m,105
81,435030,1,reward_12m_105,0,12m,105
82,435031,1,reward_12m_105,60,12m,105
83,435032,1,reward_12m_105,35,12m,105
84,435033,1,reward_12m_105,35,12m,105
85,435035,0,reward_12m_105,60,12m,105
86,435036,1,reward_12m_105,35,12m,105
87,435038,0,reward_12m_105,45,12m,105
88,435039,0,reward_12m_105,60,12m,105
89,435040,0,reward_12m_105,60,12m,105
90,435041,0,reward_12m_105,60,12m,105
91,435042,1,reward_12m_105,40,12m,105
92,435043,0,reward_12m_105,65,12m,105
93,435045,0,reward_12m_105,65,12m,105
94,435046,1,reward_12m_105,15,12m,105
95,435049,1,reward_12m_105,30,12m,105
96,435052,0,reward_12m_105,50,12m,105
97,435053,0,reward_12m_105,45,12m,105
98,435054,0,reward_12m_105,60,12m,105
99,435055,0,reward_12m_105,60,12m,105
100,435056,1,reward_12m_105,45,12m,105
101,435057,0,reward_12m_105,60,12m,105
102,435060,1,reward_12m_105,30,12m,105
103,435062,0,reward_12m_105,60,12m,105
104,435063,1,reward_12m_105,25,12m,105
105,435064,0,reward_12m_105,60,12m,105
106,435065,1,reward_12m_105,15,12m,105
107,435066,0,reward_12m_105,60,12m,105
108,435067,0,reward_12m_105,60,12m,105
109,435068,1,reward_12m_105,35,12m,105
110,435069,0,reward_12m_105,60,12m,105
111,435070,0,reward_12m_105,60,12m,105
112,435072,0,reward_12m_105,70,12m,105
113,435074,1,reward_12m_105,45,12m,105
114,435075,1,reward_12m_105,60,12m,105
115,435076,1,reward_12m_105,20,12m,105
116,435077,0,reward_12m_105,75,12m,105
117,435079,0,reward_12m_105,60,12m,105
118,435080,0,reward_12m_105,-15,12m,105
119,435081,1,reward_12m_105,25,12m,105
120,435083,0,reward_12m_105,60,12m,105
121,435084,1,reward_12m_105,0,12m,105
122,435086,0,reward_12m_105,85,12m,105
123,435087,0,reward_12m_105,65,12m,105
124,435089,0,reward_12m_105,55,12m,105
125,435092,0,reward_12m_105,60,12m,105
126,435093,1,reward_12m_105,60,12m,105
127,435095,0,reward_12m_105,45,12m,105
128,435096,0,reward_12m_105,60,12m,105
129,435097,0,reward_12m_105,60,12m,105
130,435098,1,reward_12m_105,55,12m,105
131,435099,0,reward_12m_105,65,12m,105
132,435100,1,reward_12m_105,45,12m,105
133,435101,1,reward_12m_105,35,12m,105
134,435103,0,reward_12m_105,60,12m,105
135,435104,1,reward_12m_105,25,12m,105
136,435105,0,reward_12m_105,60,12m,105
137,435106,0,reward_12m_105,60,12m,105
138,435107,1,reward_12m_105,45,12m,105
139,435108,1,reward_12m_105,35,12m,105
140,435110,0,reward_12m_105,60,12m,105
141,435111,0,reward_12m_105,60,12m,105
142,435113,1,reward_12m_105,35,12m,105
