,worker_id,prolific_id,status,duration,duration_second,component_duration_1,component_duration_2,component_duration_3,component_duration_4,component_duration_5,component_duration_6,age,sex
0,434923,65b17c3a6264a7353dc9ed4b,FINISHED,00:05:25,325,00:00:12,00:00:09,00:00:48,00:00:49,00:02:37,00:00:49,41,Female
1,434924,5de8e0ac9ba3e8000a970881,FINISHED,00:02:34,154,00:00:12,00:00:09,00:00:21,00:00:26,00:01:09,00:00:17,37,Female
2,434925,59532996d5822e000125a73b,FINISHED,00:04:15,255,00:00:09,00:00:13,00:00:25,00:00:49,00:02:24,00:00:15,36,Female
3,434926,5cd951d48ace520016ef7a31,FINISHED,00:03:56,236,00:00:12,00:00:06,00:00:28,00:01:09,00:01:41,00:00:20,39,Female
4,434927,56f84c071b99b8000c365751,FINISHED,00:06:09,369,00:00:25,00:00:15,00:00:53,00:01:32,00:02:35,00:00:29,55,Male
5,434928,6571ed82ff0be0217f88ea79,FINISHED,00:09:22,562,00:00:31,00:00:22,00:01:12,00:02:31,00:02:59,00:01:47,29,Female
6,434930,60aa52f56964a096e3ab53c7,FINISHED,00:03:09,189,00:00:12,00:00:05,00:00:33,00:00:39,00:01:29,00:00:11,26,Female
7,434931,6554be23acddc7d2d27c986c,FINISHED,00:08:31,511,00:00:32,00:00:16,00:01:37,00:01:19,00:03:57,00:00:50,60,Female
8,434932,5deba29b787ce529a9725c54,FINISHED,00:05:07,307,00:00:16,00:00:29,00:00:38,00:00:52,00:02:26,00:00:26,64,Female
9,434933,59917a2b0675b100014dadb8,FINISHED,00:05:28,328,00:00:10,00:00:22,00:00:39,00:01:08,00:02:50,00:00:19,41,Female
10,434934,61067ed9f756e2096f4ae3bc,FINISHED,00:06:17,377,00:00:13,00:00:19,00:00:48,00:00:45,00:04:00,00:00:12,37,Female
11,434935,6034da6b08183eee8cc990ea,FINISHED,00:03:18,198,00:00:08,00:00:04,00:00:30,00:00:54,00:01:28,00:00:14,58,Female
12,434936,574c17587fd0ec0006b655cc,FINISHED,00:04:40,280,00:00:07,00:00:03,00:00:28,00:02:31,00:01:19,00:00:12,37,Male
13,434937,5cd0274b3526f60015bff216,FINISHED,00:13:08,788,00:00:09,00:00:05,00:00:47,00:07:25,00:04:32,00:00:10,43,Female
14,434938,61572ed6d411f4738a92af88,FINISHED,00:02:52,172,00:00:04,00:00:05,00:00:23,00:00:28,00:01:35,00:00:17,32,Female
15,434939,65aaa248aec436bf7dfc9599,FINISHED,00:10:52,652,00:01:31,00:01:31,00:01:17,00:01:58,00:03:34,00:01:00,27,Female
16,434940,62d5cc956051642fc69be235,FINISHED,00:03:01,181,00:00:05,00:00:10,00:00:22,00:00:45,00:01:21,00:00:18,30,Male
17,434941,610d5425d8e7826fe6a42d68,FINISHED,00:03:42,222,00:00:06,00:00:07,00:00:32,00:00:45,00:01:43,00:00:29,37,Male
18,434942,571b68225d40840012c3fdee,FINISHED,00:03:46,226,00:00:11,00:00:07,00:00:36,00:00:36,00:01:55,00:00:21,35,Male
19,434943,5e81b038c8977f000964e5b2,FINISHED,00:04:25,265,00:00:08,00:00:09,00:00:31,00:00:48,00:02:27,00:00:22,38,Male
20,434944,5f2178ec626bc35254b5145e,FINISHED,00:07:34,454,00:00:51,00:00:22,00:01:16,00:01:06,00:03:30,00:00:29,70,Female
21,434945,60c48655811ab33a8f77dd34,FINISHED,00:08:40,520,00:00:06,00:00:13,00:01:52,00:01:18,00:03:37,00:01:34,25,Female
22,434946,62b43af72668e3aa1fd3f5ac,FINISHED,00:04:30,270,00:00:13,00:00:09,00:00:31,00:00:51,00:02:29,00:00:17,41,Male
23,434947,5e299d8c2e9dc4000be0fde0,FINISHED,00:05:10,310,00:00:09,00:00:09,00:00:32,00:00:54,00:03:10,00:00:16,32,Male
24,434948,6570857f15730b0f6ea346ec,FINISHED,00:09:16,556,00:00:39,00:00:25,00:01:01,00:01:12,00:05:19,00:00:39,26,Female
25,434949,5657688f995911000a482d40,FINISHED,00:03:25,205,00:00:14,00:00:05,00:00:24,00:00:39,00:01:41,00:00:22,45,Male
26,434950,5b4b679dff74970001256d36,FINISHED,00:06:06,366,00:00:06,00:00:08,00:00:49,00:00:47,00:04:00,00:00:16,37,Male
27,434951,6546549b0511efc35646724f,FINISHED,00:07:28,448,00:00:25,00:00:13,00:00:42,00:02:07,00:03:34,00:00:27,24,Female
28,434952,654a48a508808ebb99e5a661,FINISHED,00:03:52,232,00:00:13,00:00:10,00:00:35,00:00:34,00:01:59,00:00:21,49,Female
29,434953,597076ad965d930001322d01,FINISHED,00:04:43,283,00:00:42,00:00:33,00:00:40,00:00:33,00:01:52,00:00:23,35,Female
30,434954,62e1975a303029942e08439a,FINISHED,00:06:56,416,00:00:30,00:00:20,00:00:59,00:01:01,00:03:32,00:00:34,46,Female
31,434955,575d08ef85d90500061ef59b,FINISHED,00:03:47,227,00:00:12,00:00:16,00:00:32,00:00:48,00:01:42,00:00:17,66,Female
32,434956,63cfdefcf2ee0355b64d6f03,FINISHED,00:12:07,727,00:00:12,00:00:21,00:00:43,00:06:47,00:03:36,00:00:28,53,Female
33,434957,5f70576bb22a006197aea6de,FINISHED,00:04:11,251,00:00:24,00:00:05,00:00:35,00:01:03,00:01:48,00:00:16,41,Male
34,434958,5797bc9aad1a6c000146818c,FINISHED,00:05:40,340,00:00:17,00:00:10,00:00:50,00:01:18,00:02:31,00:00:34,63,Male
35,434959,5e55385c54a6e7538c5bb520,FINISHED,00:02:43,163,00:00:07,00:00:09,00:00:22,00:00:39,00:01:14,00:00:12,25,Female
36,434960,594ee0aa7095f80001da4c4e,FINISHED,00:03:30,210,00:00:05,00:00:02,00:00:28,00:00:56,00:01:38,00:00:21,48,Female
37,434961,63cf06ddba557b8820c8028b,FINISHED,00:09:00,540,00:00:08,00:03:39,00:00:39,00:02:57,00:01:17,00:00:20,28,Female
38,434962,5cee2eb649c43d00011fa491,FINISHED,00:05:01,301,00:00:20,00:00:11,00:00:34,00:00:54,00:02:45,00:00:17,61,Male
39,434963,63682e96b4e429f80579cf74,FINISHED,00:05:37,337,00:00:07,00:00:13,00:00:36,00:01:52,00:02:35,00:00:14,45,Male
40,434964,5d0f8eee48b019000174346e,FINISHED,00:04:28,268,00:00:07,00:00:12,00:00:36,00:01:01,00:02:16,00:00:16,41,Female
