Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65b22ebef8f74ab60cb336b9,56f84c071b99b8000c365751,APPROVED,Not Applicable,2024-01-25T09:50:03.832000Z,2024-01-25T09:56:24.686000Z,2024-01-25T09:56:25.203000Z,2024-01-25T09:56:25.137659Z,381,CFSKYJWQ,343,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65b22f45f911047e687ed135,571b68225d40840012c3fdee,APPROVED,Not Applicable,2024-01-25T09:54:55.492000Z,2024-01-25T09:58:49.464000Z,2024-01-25T09:58:50.138000Z,2024-01-25T09:58:50.082864Z,234,CFSKYJWQ,403,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65b22f9e86245bce167dcdb5,574c17587fd0ec0006b655cc,APPROVED,Not Applicable,2024-01-25T09:53:38.583000Z,2024-01-25T09:58:23.994000Z,2024-01-25T09:58:24.612000Z,2024-01-25T09:58:24.528652Z,286,CFSKYJWQ,1188,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65b22fdaca5b2c1317defdcb,5b4b679dff74970001256d36,APPROVED,Not Applicable,2024-01-25T09:54:37.564000Z,2024-01-25T10:02:23.798000Z,2024-01-25T10:02:24.320000Z,2024-01-25T10:02:24.241993Z,467,CFSKYJWQ,1172,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65b22fda00902b76cc809ab8,610d5425d8e7826fe6a42d68,APPROVED,Not Applicable,2024-01-25T09:54:37.115000Z,2024-01-25T09:58:26.654000Z,2024-01-25T09:58:27.161000Z,2024-01-25T09:58:27.080025Z,230,CFSKYJWQ,674,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
65b22fdbf2aa850ee59191ef,62d5cc956051642fc69be235,APPROVED,Not Applicable,2024-01-25T09:54:37.744000Z,2024-01-25T09:57:43.632000Z,2024-01-25T09:57:44.298000Z,2024-01-25T09:57:44.238402Z,186,CFSKYJWQ,461,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65b22ff0f2aa850ee59191f5,5e81b038c8977f000964e5b2,APPROVED,Not Applicable,2024-01-25T09:54:59.789000Z,2024-01-25T09:59:30.383000Z,2024-01-25T09:59:30.990000Z,2024-01-25T09:59:30.896484Z,271,CFSKYJWQ,1589,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65b22ff108c1458735acaf3c,6158b7b4053f84c5d4d057f5,APPROVED,Not Applicable,2024-01-25T10:01:54.488000Z,2024-01-25T10:06:35.946000Z,2024-01-25T10:06:36.581000Z,2024-01-25T10:06:36.506196Z,282,CFSKYJWQ,518,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65b22ff60df453b6a5809be8,62b43af72668e3aa1fd3f5ac,APPROVED,Not Applicable,2024-01-25T09:55:07.157000Z,2024-01-25T09:59:48.718000Z,2024-01-25T09:59:49.586000Z,2024-01-25T09:59:49.517093Z,282,CFSKYJWQ,580,41,Male,White,Ireland,United Kingdom,Ireland,English,No,Full-Time
65b22ffc91b035bdf7868004,5e299d8c2e9dc4000be0fde0,APPROVED,Not Applicable,2024-01-25T09:55:15.938000Z,2024-01-25T10:00:35.443000Z,2024-01-25T10:00:35.947000Z,2024-01-25T10:00:35.891418Z,320,CFSKYJWQ,494,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65b2302ed24728921872d728,5657688f995911000a482d40,APPROVED,Not Applicable,2024-01-25T09:56:04.772000Z,2024-01-25T09:59:38.623000Z,2024-01-25T09:59:39.219000Z,2024-01-25T09:59:39.162675Z,214,CFSKYJWQ,1021,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65b2305608c1458735acaf55,5aed5c7cb59b0d00012eaccd,APPROVED,Not Applicable,2024-01-25T09:58:12.217000Z,2024-01-25T10:02:55.966000Z,2024-01-25T10:02:56.570000Z,2024-01-25T10:02:56.501481Z,284,CFSKYJWQ,517,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65b23073f2aa850ee5919217,6266d1937cec5e7a57883e76,APPROVED,Not Applicable,2024-01-25T09:57:25.787000Z,2024-01-25T10:16:23.586000Z,2024-01-25T10:16:24.104000Z,2024-01-25T10:16:24.007070Z,1138,CFSKYJWQ,308,51,Male,Other,United Kingdom,United Kingdom,Morocco,English,No,Unemployed (and job seeking)
