dstyle,ustyle,params,mse,mae,log_loss,accuracy,pred_ll
attention,cara,[0.98  0.167 0.471 0.275],0.16149988863117296,0.3234266587225255,0.49331344572774904,0.751414713717547,0.19585536991028482
attention,power,[0.984 1.344 0.463 1.941],0.15792599753426725,0.316957736330693,0.4860411725922327,0.782590126522658,0.28046939525938097
attention_uni,cara,[0.165 0.199 0.162],0.16076749441736535,0.3214277960975382,0.49162739298517366,0.7591031880152557,0.22366200806318065
attention_uni,power,[0.918 0.361 0.963],0.15837573568850233,0.3178294299294346,0.488147487194815,0.782590126522658,0.28046939525938097
expo,cara,[0.995 0.728 0.112],0.17051711325616759,0.34173805983273436,0.5136453228119942,0.7128477593798146,0.1457698557262785
expo,power,[0.994 0.29  0.718],0.16043160702360892,0.32293598232098997,0.49218186313118906,0.7731351036154086,0.3272497370233768
expo2,cara,[0.939 0.882 0.52  0.61  0.099],0.1722683025531158,0.34538997739384913,0.5170669171775977,0.7016098909880549,0.09854002743015464
expo2,power,[0.711 0.844 0.353 0.115 0.167],0.15777841878451995,0.3154121930003057,0.48554907948187076,0.7805135047663612,0.2706409701581797
hb,cara,[0.01  0.504 0.158],0.16827623682459975,0.33675399926877975,0.5092074472039851,0.7303431504856129,0.19632620472074994
hb,power,[0.006 0.269 0.558],0.15969136837764009,0.32085736775308027,0.4902866408050227,0.7731351036154086,0.3272497370233768
hb2,cara,[0.011 1.501 0.44  0.174],0.1656708239729819,0.3321023626038504,0.5039339187687555,0.7453668724739461,0.22907730667301363
hb2,power,[1.346 0.003 0.018 0.008],0.15773056137921135,0.31476656977264184,0.4853889195808385,0.7798368986868021,0.24351019173834648
hbmd,cara,[88.892  0.13   0.214],0.16213680447982062,0.32393419984135974,0.496216565436663,0.7610941924113174,0.29428832372723546
hbmd,power,[21.384  0.393  1.122],0.15825839550240123,0.31736767432313046,0.4867938230558592,0.7731351036154086,0.3272497370233768
hce,cara,[ 0.991 70.147  0.228  0.209],0.16602546889072073,0.33377155481246235,0.5046094780920917,0.7501120236564061,0.25463693874858934
hce,power,[0.994 2.207 0.195 0.718],0.16043160593703237,0.32293598051651484,0.49218187247560097,0.7731351036154086,0.3272497370233768
quasihb,cara,[0.951 0.994 0.484 0.187],0.16971612462319577,0.34021953249769404,0.5120362855623556,0.7217213160393008,0.1637567209836644
quasihb,power,[0.95  1.    0.092 0.088],0.15762263558072073,0.31495581590654925,0.4852200371836342,0.7821734598559914,0.2757008767408624
quasihb_fc,cara,[0.999 0.992 1.115 0.805 0.228],0.17055550543085718,0.3391567686066534,0.5132602495087986,0.7217117683542804,0.16334005994972184
quasihb_fc,power,[0.977 0.997 1.241 0.166 1.053],0.1583212209834707,0.3172666580883483,0.4871033423206795,0.7805358990958189,0.2904584862002436
trade,cara,[ 0.021 15.153  4.893  1.358  0.954  3.109],0.16659122666611398,0.33273779867968645,0.5043332157066607,0.7205733110601061,0.13639267929910945
trade,power,[7.472 1.919 0.045 3.168 0.262 0.307],0.15711220738877016,0.3139062122440918,0.48395260864507605,0.782590126522658,0.28046939525938097
