dstyle,ustyle,mse,mae,log_loss,accuracy,pred_ll
trade,power,0.06311754414786769,0.2152324392842434,0.25755881476672005,0.963,0.26
attention_uni,power,0.07212571190438831,0.23155862574946035,0.2804768221508531,0.958,0.339
hbmd,power,0.0726447581714337,0.23394643115744293,0.28295760939882514,0.967,0.33
hb2,power,0.06954809510788433,0.23712603930740797,0.28361498223029885,0.967,0.33
attention,power,0.075214614894298,0.23525647039935876,0.2869199067552537,0.958,0.339
hb,power,0.08037212081621754,0.24704366862593535,0.30210977381613635,0.967,0.33
expo,power,0.08251648749189264,0.2476016328468446,0.30440353277345955,0.967,0.33
hce,power,0.08454182302622247,0.2521902091233646,0.31039768124171335,0.967,0.33
hbmd,cara,0.11562161374442081,0.2550149740086669,0.3539237705765846,0.809,0.106
expo,cara,0.12874817209910666,0.24145114190154476,0.35870973667467604,0.703,0.0
hce,cara,0.12331580390825457,0.25098915155937723,0.35923264624823564,0.742,0.039
trade,cara,0.10972710728243634,0.28012086130084435,0.36266750738757036,0.742,0.039
quasihb_fc,cara,0.12616719073815005,0.2675704795128101,0.37513093074335807,0.703,0.0
hb,cara,0.1393039664023687,0.25053044330356516,0.38580274843772044,0.703,0.0
quasihb,cara,0.1400698771555088,0.2711340647543754,0.4000130200952866,0.703,0.0
attention,cara,0.1281004605231308,0.3042844936912253,0.4012651045422268,0.703,0.0
hb2,cara,0.15936032173737746,0.24656807119333662,0.42419060482742876,0.703,0.0
attention_uni,cara,0.13515154277421898,0.33744003988343424,0.4375632670064287,0.776,0.139
quasihb,power,0.14738621912353123,0.38018570209952884,0.48222440377013764,0.967,0.33
quasihb_fc,power,0.17774625449512552,0.4172553972612726,0.5452828352205877,0.967,0.33
expo2,cara,0.2945602673358061,0.29582065043244055,1.8877973800132202,0.703,0.0
expo2,power,0.29641011872797596,0.29679121405926334,2.210824243023272,0.703,0.0
