dstyle,ustyle,params,mse,mae,log_loss,accuracy,pred_ll
heuristic,--,,0.2705127110186583,0.2705127110186583,0.5576761030780052,0.7294872889813417,
trade,power,[0.524 1.231 7.45  0.608 0.114 0.112],0.19295787761407554,0.38562230330591485,0.5725628192954384,0.7221288377715196,0.20026582385366565
hbmd,power,[8.931 0.129 0.148],0.1955104121987365,0.3919855604500045,0.5794384837404406,0.7239866441327855,0.21099298154224208
quasihb,power,[0.997 0.997 0.011 0.007],0.19613744729540336,0.39252387996012106,0.5802845750515415,0.7225924314787907,0.22494683847163474
quasihb_fc,power,[0.997 0.997 0.961 0.011 0.007],0.19627429761102547,0.3926667076700984,0.5806111916583541,0.7225924314787907,0.22494683847163474
attention_uni,power,[0.218 0.017 0.011],0.19621168262888405,0.3933227550003535,0.5808232356392422,0.7250256614259407,0.2144429191368103
expo2,power,[0.824 0.905 0.357 0.012 0.008],0.19628695825606468,0.39344680040712915,0.580837261985694,0.7231494323784214,0.21976430921472412
hb,power,[0.002 0.007 0.004],0.19786162176151045,0.39675604203590675,0.58415057098176,0.7188379745648871,0.23048989799269481
hce,power,[0.997 2.207 0.006 0.006],0.19791315839496876,0.39654686266020245,0.5843091649471476,0.7200672784757576,0.23213413407293298
expo,power,[0.997 0.007 0.005],0.19796176467979693,0.3957189474526285,0.5845341769807544,0.7179266056928829,0.22938184049495133
hb2,power,[1.000e-03 4.728e+00 1.900e-02 1.300e-02],0.1980525477340484,0.3969752875234794,0.5848416578460414,0.720378947735897,0.2328772421430146
attention,power,[0.993 6.033 0.319 1.234],0.20559954539097566,0.4131114301472252,0.6018874139172234,0.7047686751334288,0.18205613428938885
trade,cara,[ 0.507  2.653 96.626 65.193  2.254  2.222],0.22451875840999197,0.4486448045417971,0.6408918265405636,0.6478904679798643,0.0026267873990663253
hb2,cara,[ 0.399  0.263 14.494  0.04 ],0.2251292428217086,0.4500421189288132,0.6422255967688832,0.6468217656897879,0.0
quasihb_fc,cara,[0.953 0.874 1.622 2.421 0.331],0.22513017408423114,0.45034152997191235,0.6422262864370996,0.6468217656897879,0.0
attention_uni,cara,[0.539 3.026 0.293],0.22514036208093527,0.45005586697716754,0.6422481251671088,0.6468217656897879,0.0
hbmd,cara,[6.438 3.273 0.293],0.22514036489274494,0.4500558813211894,0.6422481275146541,0.6468217656897879,0.0
hb,cara,[0.156 3.368 0.293],0.22514039621797782,0.450055981996174,0.6422481982949263,0.6468217656897879,0.0
attention,cara,[1.    0.539 2.616 0.293],0.22514039622441812,0.45005596850483753,0.6422482066214003,0.6468217656897879,0.0
expo2,cara,[0.641 0.665 0.496 2.273 0.02 ],0.2251387988056872,0.4499763533937564,0.6422511979242688,0.6468217656897879,0.0
quasihb,cara,[0.954 0.886 2.263 0.309],0.22516021690188412,0.4500114512976328,0.642300142469248,0.6468217656897879,0.0
expo,cara,[0.791 3.076 0.466],0.2251660222520034,0.450103835386998,0.6423019897309907,0.6468217656897879,0.0
hce,cara,[0.791 2.171 3.467 0.466],0.22516602515338083,0.45010391196680927,0.6423019944201298,0.6468217656897879,0.0
