dstyle,ustyle,mse,mae,log_loss,accuracy,pred_ll
hbmd,power,0.12004137602730058,0.32793041248032584,0.411733006987622,0.941,0.234
attention_uni,power,0.11035478930425105,0.3074105520099351,0.38584042095856136,0.935,0.248
trade,power,0.11220287252418633,0.3136542158076644,0.3928953383996201,0.909,0.196
quasihb_fc,power,0.1275889257929209,0.3359883912646567,0.4284705747958989,0.905,0.338
quasihb,power,0.1275889257929209,0.33598839126465674,0.4284705747958989,0.905,0.338
expo,power,0.12137003280252062,0.3242164673261042,0.4117629953396752,0.899,0.242
hb,power,0.13419993200395833,0.33968509316765655,0.4416433829969387,0.891,0.366
hce,power,0.1310467654661049,0.341909342643749,0.43695840063015007,0.891,0.366
hb2,power,0.1527661044281975,0.36962806669708403,0.4857816762380884,0.891,0.366
attention,power,0.16033653178169244,0.3787378342827252,0.49772043140257566,0.838,0.135
attention_uni,cara,0.18583577489966502,0.4118533024049351,0.5595204754120471,0.767,0.096
hbmd,cara,0.18643294773148228,0.4125193129324474,0.5607862761429374,0.766,0.097
attention,cara,0.18598195758627833,0.4121718058333173,0.5598546734480071,0.765,0.102
quasihb_fc,cara,0.18793145543200948,0.41457493723249444,0.5641167252592647,0.764,0.101
quasihb,cara,0.188124982008174,0.4147892622783038,0.5645186691867911,0.763,0.108
hce,cara,0.18966059667783677,0.4167809593079997,0.5676552896953002,0.76,0.087
expo2,cara,0.2350948619611417,0.24486911242984952,3.369777212908909,0.76,0.043
hb,cara,0.18761081760881834,0.4137285872531747,0.5632893373228635,0.757,0.094
expo,cara,0.1896416787490241,0.4168222994542151,0.5676218546855499,0.752,0.067
hb2,cara,0.20228531181915382,0.28504374408994343,0.6593620310853632,0.742,0.043
trade,cara,0.19084716654615397,0.41519362187338993,0.5693643965866839,0.73,0.007
expo2,power,0.27699668807500416,0.27699869685709666,5.535498404305296,0.723,0.0
