dstyle,ustyle,mse,mae,log_loss,accuracy,pred_ll
hbmd,power,0.11687257447881937,0.32171694245979204,0.4033143061948534,0.919,0.238
hb2,power,0.13303995508699273,0.33129940274666164,0.43351259365984035,0.832,0.177
attention_uni,power,0.1335168036492795,0.34341277007993326,0.4401989695714592,0.875,0.17
expo,power,0.1357494966884344,0.3439992879429835,0.4450102272086189,0.864,0.257
hb,power,0.13881629793064254,0.3507703098160233,0.45327335161469157,0.864,0.257
hce,power,0.14203283702114225,0.35144416066417444,0.4583638892745761,0.832,0.177
attention,power,0.17038143311303494,0.3939318950084674,0.521400691900416,0.847,0.15
expo2,cara,0.19903932852644726,0.4148228167917367,0.5857594420440189,0.713,0.018
hb2,cara,0.19972916604889043,0.4246123660014022,0.588086944811137,0.716,0.045
attention,cara,0.19983050099763233,0.4255812190093951,0.5884971727163122,0.733,0.054
hbmd,cara,0.2003006686192823,0.42844103170931486,0.5898870340163618,0.724,0.079
attention_uni,cara,0.2003488399774384,0.42862536661182843,0.5899920345397343,0.725,0.078
expo,cara,0.2013359099877394,0.42982405498253834,0.5919690184851829,0.715,0.046
hce,cara,0.2013892333540274,0.4299428661417118,0.592088839693147,0.715,0.046
hb,cara,0.2021655731273803,0.43087239204465727,0.5937444069580826,0.722,0.069
quasihb_fc,power,0.2187289445090587,0.46441780653453074,0.6298982065054245,0.711,0.0
quasihb,power,0.22137569378732183,0.4679298716188442,0.635283586925722,0.711,0.0
trade,power,0.22841271756143028,0.4765959521512536,0.6496050333534286,0.794,0.495
quasihb_fc,cara,0.22949031911970738,0.47700322204871193,0.6518732403771033,0.713,0.004
quasihb,cara,0.23212896865553392,0.4802551146577559,0.6572344956676154,0.713,0.004
trade,cara,0.23246863783319563,0.480951111971391,0.657968951429747,0.744,0.119
expo2,power,0.2882593830194112,0.28875261356653825,2.982422151972675,0.711,0.0
