dstyle,ustyle,params,mse,mae,log_loss,accuracy,pred_ll
trade,power,[ 4.783  1.275 39.186  2.194  0.159  0.926],0.2036,0.4088,0.5947,0.6937,0.20739999999999997
hbmd,power,[6.751 0.149 0.182],0.2042,0.40940000000000004,0.5978,0.6942,0.22820000000000001
attention_uni,power,[1.298 0.176 0.326],0.2088,0.4185,0.6071,0.6839999999999999,0.1526
expo2,power,[0.939 0.786 0.599 0.016 0.014],0.20939999999999998,0.4165,0.6087,0.6845,0.24369999999999997
expo,power,[0.992 0.018 0.015],0.20990000000000003,0.4205,0.6093,0.6827,0.2405
hb,power,[0.012 0.027 0.024],0.20990000000000003,0.4204,0.6096999999999999,0.682,0.2472
hce,power,[0.993 4.22  0.01  0.013],0.2102,0.42110000000000003,0.6098,0.6805,0.2351
hb2,power,[3.000e-03 3.939e+00 2.100e-02 1.900e-02],0.2105,0.4194,0.6113,0.6824,0.2453
quasihb_fc,power,[0.922 0.861 9.834 0.086 1.253],0.21600000000000003,0.43620000000000003,0.6222,0.6725,0.1628
attention,power,[0.996 7.781 0.341 1.582],0.2157,0.43579999999999997,0.6232,0.6787,0.1715
trade,cara,[ 3.615  1.63  36.216  5.63   0.4    1.205],0.22480000000000003,0.4499000000000001,0.6415,0.6485000000000001,0.06870000000000001
quasihb,power,[0.997 0.834 0.121 1.875],0.2251,0.4438,0.644,0.6571,0.10350000000000001
attention_uni,cara,[0.793 2.886 0.395],0.2277,0.4554,0.6476,0.6339,0.0817
expo,cara,[0.725 2.516 0.544],0.2279,0.4558,0.648,0.6326,0.05
hb2,cara,[0.079 4.857 2.677 0.502],0.22810000000000002,0.4558,0.6481,0.6324,0.0632
expo2,cara,[0.445 0.604 0.419 2.853 0.508],0.22800000000000004,0.4556,0.6481,0.6325000000000001,0.0576
hce,cara,[ 0.725 98.968  2.537  0.545],0.2279,0.4558,0.6481,0.6326,0.05
hb,cara,[0.317 3.258 0.419],0.22820000000000001,0.45600000000000007,0.6484,0.6324,0.0736
attention,cara,[0.885 1.159 3.091 0.481],0.22810000000000002,0.45600000000000007,0.6487,0.6317999999999999,0.0665
hbmd,cara,[3.75  2.583 0.383],0.22810000000000002,0.4559,0.6489,0.6363000000000001,0.1021
quasihb_fc,cara,[ 0.995  0.491 19.741 18.769  2.305],0.2366,0.47800000000000004,0.6658000000000001,0.6325000000000001,0.0084
quasihb,cara,[ 0.971  0.488 13.833  2.652],0.2372,0.479,0.667,0.633,0.0082
