model,params,se,gradient,log-likelihood,aic,bic
expo-power,"[0.995, 0.239, 0.476]","[0.007, 0.371, 1.233]","[2.325, -0.044, 0.016]",-17171.219,34348.438,34405.159
expo-cara,"[1.0, 1.006, 0.001]","[0.005, 0.005, 0.005]","[-4938523.722, 50.692, -75526.664]",-18392.734,36791.468,36848.19
expo-power2,"[0.996, 0.094, 0.006, 0.293]","[0.011, 0.152, 0.015, 0.85]","[-0.095, 0.015, -0.019, -0.008]",-17138.619,34285.238,34360.866
expo2-power,"[1.0, 0.985, 0.757, 0.141, 0.157]","[0.005, 0.005, 0.005, 0.005, 0.005]","[-246.632, -16.569, -42.936, 52.928, 121.021]",-17042.013,34094.025,34188.561
expo2-power2,"[0.991, 0.304, 0.998, 0.457, 0.001, 1.849]","[0.0, 0.005, 0.005, 0.005, 0.005, 0.005]","[-222.639, -0.004, -212.427, -55.234, 132.735, 63.713]",-17237.664,34487.328,34600.77
hb-power,"[0.005, 0.224, 0.388]","[0.005, 0.285, 0.693]","[0.773, 0.034, -0.013]",-17117.152,34240.304,34297.025
hb-cara,"[0.001, 1.071, 0.058]","[0.005, 0.005, 0.277]","[28628.41, 0.563, 135.594]",-18425.325,36856.649,36913.37
hb-power2,"[0.005, 0.089, 0.006, 0.262]","[0.001, 0.049, 0.001, 0.096]","[0.16, 0.002, 0.007, -0.003]",-17076.146,34160.291,34235.92
hb2-power,"[0.065, 0.002, 0.003, 0.002]","[0.005, 0.002, 0.003, 0.002]","[8.064, 4653.162, 764.877, -5807.144]",-17003.561,34015.122,34090.75
hb2-cara,"[0.001, 0.018, 0.93, 0.001]","[0.013, 0.005, 0.005, 0.013]","[-6467.353, -1255.819, 136.505, 31869.361]",-18396.875,36801.749,36877.378
hb2-power2,"[0.828, 0.015, 0.042, 0.001, 0.035]","[0.005, 0.016, 0.005, 0.005, 0.006]","[15.727, 205.41, -15.365, 18159.34, -145.498]",-16954.067,33918.135,34012.67
hbmd-power,"[28.84, 0.357, 0.889]","[0.061, 0.001, 0.003]","[0.001, -0.006, 0.025]",-17001.674,34009.348,34066.069
hbmd-cara,"[93.908, 0.022, 0.197]","[1.453, 0.001, 0.004]","[0.0, 0.223, -0.09]",-17174.521,34355.042,34411.764
hbmd-power2,"[4.203, 0.644, 0.001, 3.894]","[0.005, 0.004, 0.004, 0.005]","[-23.108, -85.989, 48.916, 14.066]",-17120.413,34248.826,34324.455
quasihb-power,"[1.0, 0.986, 0.698, 6.088]","[0.009, 0.0, 0.006, 0.006]","[-76.222, 1245.391, -109.272, 39.813]",-17431.349,34870.697,34946.326
quasihb-power2,"[0.999, 0.991, 0.447, 0.002, 1.783]","[0.008, 0.0, 0.006, 0.004, 0.006]","[-232.697, 530.951, -176.7, -191.123, 79.153]",-17233.922,34477.844,34572.38
quasihb_fc-power,"[1.0, 0.991, 0.985, 0.464, 1.892]","[0.014, 0.0, 0.005, 0.005, 0.007]","[-192.918, -470.602, 0.0, 24.061, 54.621]",-17239.545,34489.089,34583.625
quasihb_fc-cara,"[1.0, 0.997, 0.946, 0.984, 0.154]","[0.005, 0.0, 0.005, 0.005, 0.005]","[-14509.532, -10942.358, 0.0, 0.552, 246.118]",-18443.963,36897.926,36992.461
quasihb_fc-power2,"[1.0, 0.991, 0.885, 0.461, 0.001, 1.892]","[0.013, 0.0, 0.005, 0.008, 0.002, 0.006]","[-109.351, 2613.191, 0.0, -19.635, 333.853, 65.931]",-17240.106,34492.212,34605.655
hce-power,"[0.995, 2.036, 0.122, 0.476]","[0.0, 0.005, 0.0, 0.001]","[-3.133, 0.009, -0.158, 0.001]",-17171.219,34350.438,34426.066
hce-cara,"[1.0, 1.867, 0.936, 0.001]","[0.0, 0.005, 0.005, 0.006]","[5727223.134, 15.882, 284.096, 111217.77]",-18370.537,36749.074,36824.702
attention-power,"[0.988, 1.17, 0.427, 1.579]","[0.002, 0.079, 0.011, 0.037]","[0.029, -0.003, 0.013, 0.001]",-16974.212,33956.425,34032.053
attention-cara,"[0.996, 0.176, 0.028, 0.211]","[0.002, 0.005, 0.002, 0.003]","[-0.041, 0.061, -0.061, -0.008]",-16892.237,33792.474,33868.103
