dstyle,ustyle,mse,mae,log_loss,accuracy,pred_ll
trade,power,0.06450284846227551,0.21423268507665744,0.25774161031807846,0.962,0.226
attention_uni,power,0.07150719837435592,0.2281609341247099,0.27673889077181185,0.959,0.305
attention,power,0.07532011483852662,0.23362593760608227,0.2856077566635649,0.959,0.305
hb,power,0.07998759993519787,0.23912052512160029,0.29464948870407404,0.955,0.309
quasihb_fc,power,0.18324162127858215,0.42419405716866104,0.5569014235779491,0.955,0.309
quasihb,power,0.13215710421452795,0.3488230280444285,0.4414151221520438,0.955,0.309
hce,power,0.08753278333879358,0.2536419469302848,0.31492134342322686,0.955,0.309
hbmd,power,0.07600407720427399,0.2368312390272708,0.28881287839648884,0.955,0.309
hbmd,cara,0.07482374976358795,0.2373752490047311,0.28845344979451853,0.955,0.309
hb2,power,0.0787287759326702,0.2525969337761695,0.3062398946709607,0.955,0.309
expo,power,0.08686644869198616,0.2520037826856795,0.31284767741198083,0.955,0.309
trade,cara,0.24687407162505556,0.49678501816526127,0.6868888339797322,0.769,0.203
attention_uni,cara,0.15647897200517785,0.37897827062471806,0.4934979402323325,0.767,0.031
attention,cara,0.12348304585551946,0.2967724839967206,0.38966108008634476,0.767,0.031
hb2,cara,0.11847453758193704,0.2757756433250474,0.37013312816908217,0.736,0.0
hb,cara,0.12790274719240124,0.2392481093532995,0.3629675605046369,0.736,0.0
expo2,power,0.26398264257378107,0.263995979149251,2.868482775897184,0.736,0.0
expo2,cara,0.25607776711131247,0.2623906082076423,1.150718270354701,0.736,0.0
hce,cara,0.12011124961771985,0.22992806957975268,0.33975377056435063,0.736,0.0
quasihb,cara,0.15145862968092108,0.2596137118722275,0.4210160428047034,0.736,0.0
expo,cara,0.11947506090340061,0.22649490625692936,0.3356669561206503,0.736,0.0
quasihb_fc,cara,0.12869496193118454,0.26332317630695173,0.379110685509636,0.736,0.0
