dstyle,ustyle,params,mse,mae,log_loss,accuracy,pred_ll
heuristic,--,,0.27494626054817506,0.27494626054817506,0.5617894369997328,0.7250537394518249,
trade,power,[ 0.632  1.274 17.074  0.85   0.106  0.1  ],0.19444981840318504,0.3885253831071358,0.5755501809543937,0.715990643327297,0.21075628714366684
hbmd,power,[9.485 0.127 0.144],0.19719861260286584,0.39524471753723933,0.5827934438150398,0.7216508219715277,0.21977673732764985
quasihb,power,[0.998 0.998 0.008 0.005],0.1974431743929264,0.3946674051913833,0.5828129516300576,0.7170325986719681,0.22786324576508252
quasihb_fc,power,[0.998 0.997 1.066 0.009 0.005],0.19746970887244253,0.394102405526997,0.5829073595214741,0.7170325986719681,0.22786324576508252
expo2,power,[0.802 0.838 0.451 0.012 0.008],0.1978259214829963,0.39560965562602346,0.5835982476738624,0.7138956344970504,0.23201312759467602
attention_uni,power,[0.221 0.018 0.012],0.1977361596150482,0.3961851836965999,0.5836751916372791,0.7202419255787513,0.2218040715688891
hb2,power,[0.129 2.271 0.015 0.01 ],0.1988128416830431,0.39877648900271045,0.585875806206994,0.7142452604634475,0.2381720229856285
hce,power,[0.997 2.067 0.005 0.005],0.1993634618849581,0.39933399029702643,0.5872553712398804,0.716431010200097,0.24449669025213683
hb,power,[0.002 0.006 0.004],0.199358532323967,0.39899020975954735,0.5872944435234871,0.7148164892928552,0.25112011779866367
expo,power,[0.997 0.009 0.005],0.19943755737595864,0.39935738275563215,0.5874825737078468,0.7164001078898689,0.24525807077583198
attention,power,[0.997 5.982 0.322 1.275],0.20714449913519806,0.4168498588055839,0.6048853618532883,0.696074670410978,0.19436872098003694
attention,cara,[0.988 0.579 2.334 0.331],0.22656997000098986,0.45305596629908396,0.6451769870133107,0.6420294482412288,0.011159420289855072
trade,cara,[ 0.578  2.578 93.576 59.948  2.533  2.271],0.22685954883004206,0.4535622677631461,0.6457888104089291,0.6395656801252867,0.0
expo2,cara,[0.402 0.73  0.313 2.306 0.06 ],0.22699878195764017,0.45384238725888315,0.6460769566596857,0.6395656801252867,0.0
quasihb_fc,cara,[0.943 0.923 1.082 2.53  0.242],0.22701170559171674,0.4538622372908357,0.6461078841604395,0.6395656801252867,0.0
quasihb,cara,[0.943 0.923 2.614 0.242],0.2270117333890081,0.453862557994388,0.6461079516455281,0.6395656801252867,0.0
hb2,cara,[ 0.514  0.349 13.729  0.051],0.22705778820357345,0.4540214134868393,0.6461958229000978,0.6395656801252867,0.0
hb,cara,[0.19  3.902 0.345],0.22709697465394174,0.45407858307970983,0.646279759533581,0.6395656801252867,0.0
hbmd,cara,[5.292 3.513 0.345],0.2270969899962751,0.45407864613189675,0.6462797919192422,0.6395656801252867,0.0
attention_uni,cara,[0.602 4.024 0.345],0.2270969908673126,0.4540786718396082,0.6462797944086704,0.6395656801252867,0.0
expo,cara,[0.764 3.243 0.529],0.22714071911550487,0.45416392637620906,0.6463727442337822,0.6395656801252867,0.0
hce,cara,[0.764 2.771 3.607 0.529],0.2271407284367967,0.4541639850650997,0.6463727662680399,0.6395656801252867,0.0
