dstyle,ustyle,params,mse,mae,log_loss,accuracy,pred_ll
heuristic,--,,0.2977007325664885,0.2977007325664885,0.5804502819768393,0.7022992674335116,
trade,power,[0.801 1.167 8.033 0.432 0.087 0.073],0.2035375071799186,0.40687598919754214,0.5950836137155451,0.6927270958854351,0.23662557051422467
hbmd,power,[7.507 0.144 0.173],0.20600760492944584,0.4127635381124706,0.6014526997092113,0.6915763285203906,0.23203434231718528
quasihb_fc,power,[0.997 0.997 1.065 0.008 0.006],0.20843989453551304,0.4174705742255866,0.6061931229579824,0.6854033542283552,0.2439375743150387
quasihb,power,[0.997 0.997 0.008 0.007],0.20853171722257513,0.41702448672854225,0.6064922821595777,0.6872411398108719,0.24045987762079246
expo2,power,[0.969 0.813 0.648 0.012 0.01 ],0.20969755351529037,0.4199869771764064,0.6089939910248597,0.6853272335332858,0.2536111590625164
attention_uni,power,[1.423 0.186 0.362],0.21064346202448422,0.42184649472069624,0.6109477042820297,0.6793250857572156,0.15240207841058878
hb2,power,[0.079 2.661 0.017 0.014],0.21063741231589223,0.42184130958282234,0.6112139922645317,0.6815708223169372,0.25158784490263003
hb,power,[0.01  0.024 0.021],0.21085932791268855,0.4220692410899075,0.611716730836579,0.6811100911440622,0.24905113248960578
expo,power,[0.995 0.013 0.011],0.2110819728325998,0.42242099908904346,0.6120899975469486,0.6811100911440622,0.24905113248960578
hce,power,[0.995 2.048 0.008 0.011],0.21108202422786518,0.4224210227335776,0.6120901359245606,0.6811100911440622,0.24905113248960578
attention,power,[0.996 5.215 0.307 1.036],0.2148038056641813,0.43104610267382065,0.6208315597581079,0.6727355572818994,0.1653512815777104
trade,cara,[6.9300e-01 2.2190e+00 8.9518e+01 5.3840e+00 3.0000e-03 1.8400e-01],0.2184050974012238,0.43670409324715703,0.6282586011632384,0.6655840823485584,0.1218925931456482
attention,cara,[0.839 0.654 1.843 0.424],0.2279291846635539,0.45636665316465325,0.6479885612807215,0.638314432546401,0.10313840155513247
attention_uni,cara,[0.741 2.713 0.392],0.22900768596696297,0.4578950476758072,0.6502301660847276,0.6308191854253531,0.08441643976744236
hbmd,cara,[3.529 2.566 0.408],0.22902625424282186,0.45795105484262955,0.6502838014458435,0.6309363312435061,0.08449434967117127
quasihb,cara,[0.936 0.794 2.357 0.48 ],0.22933749215456173,0.4584730294410512,0.6509128076037359,0.6299528389541776,0.07689985450384508
quasihb_fc,cara,[0.936 0.794 1.454 2.357 0.48 ],0.22933749454548608,0.4584728753861085,0.6509128121497711,0.6299528389541776,0.07689985450384508
expo2,cara,[0.325 0.481 0.408 2.36  0.479],0.2293564048288274,0.4584428659319236,0.6509561696092832,0.6298824596035479,0.07669523402247991
expo,cara,[0.746 2.084 0.536],0.22937595138158784,0.45858698333454245,0.6509773370182292,0.6293258020196186,0.07618292809741882
hce,cara,[ 0.746 96.942  2.108  0.537],0.22938008459158357,0.4585960319612181,0.6509855364867304,0.6293914188175188,0.07572361051211698
hb2,cara,[0.075 5.399 2.283 0.495],0.2294172850249207,0.45861147073887604,0.6510715611356133,0.6293253844906126,0.0771251893443634
hb,cara,[0.291 2.913 0.418],0.229445262961466,0.4587776172396497,0.6511417521413934,0.6289485922724614,0.08063820012214347
