"serial","unique_itc","accel_delay","Cluster","choice","total_time_ms","looktime_index","mean_payne","payne_ind","ll_time","ss_time","ll_amt_val","ss_amt_val","ss_delay_type","itc_no"
128912,"a2 weeks4 weeks$53.10$55.80","accel","Comparative","ss",5646,-0.10692375109553,-0.165693499366327,1,"4 weeks","2 weeks",55.8,53.1,"not_now",1
128912,"a2 weeks6 weeks$18.50$22.20","accel","Comparative","ss",5078,0.0208067940552017,-0.165693499366327,1,"6 weeks","2 weeks",22.2,18.5,"not_now",2
128912,"a0 weeks2 weeks$43.50$58.70","accel","Comparative","ll",7813,0.0518468315825144,-0.165693499366327,1,"2 weeks","0 weeks",58.7,43.5,"now",3
128912,"a0 weeks4 weeks$24.70$27.20","accel","Comparative","ss",5386,-0.0645860424794105,-0.165693499366327,1,"4 weeks","0 weeks",27.2,24.7,"now",4
128912,"a0 weeks4 weeks$57.70$72.10","accel","Comparative","ss",6528,0.0996128123900035,-0.165693499366327,0.5,"4 weeks","0 weeks",72.1,57.7,"now",5
128912,"a0 weeks4 weeks$27.10$40.70","accel","Comparative","ll",6370,-0.0169348010160881,-0.165693499366327,-1,"4 weeks","0 weeks",40.7,27.1,"now",6
128912,"a0 weeks4 weeks$57.50$59.20","accel","Comparative","ss",4527,0.134328358208955,-0.165693499366327,-0.333333333333333,"4 weeks","0 weeks",59.2,57.5,"now",7
128912,"a0 weeks2 weeks$15.10$17.40","accel","Comparative","ss",5042,-0.130546075085324,-0.165693499366327,-0.333333333333333,"2 weeks","0 weeks",17.4,15.1,"now",8
128912,"a0 weeks2 weeks$52.50$55.10","accel","Comparative","ss",5247,0.0224772835963654,-0.165693499366327,-1,"2 weeks","0 weeks",55.1,52.5,"now",9
128912,"a2 weeks6 weeks$56.20$75.90","accel","Comparative","ss",4980,-0.0169491525423729,-0.165693499366327,-0.333333333333333,"6 weeks","2 weeks",75.9,56.2,"not_now",10
128912,"a0 weeks2 weeks$62.90$75.50","accel","Comparative","ll",8392,-0.0910772075820619,-0.165693499366327,-0.428571428571429,"2 weeks","0 weeks",75.5,62.9,"now",11
128912,"a2 weeks4 weeks$54.90$63.10","accel","Comparative","ss",5216,-0.263964950711939,-0.165693499366327,-1,"4 weeks","2 weeks",63.1,54.9,"not_now",12
128912,"a2 weeks6 weeks$33.30$34.30","accel","Comparative","ss",5646,-0.0460109750949768,-0.165693499366327,1,"6 weeks","2 weeks",34.3,33.3,"not_now",13
128912,"a2 weeks6 weeks$27.80$28.10","accel","Comparative","ss",4747,-0.0106589147286822,-0.165693499366327,-0.333333333333333,"6 weeks","2 weeks",28.1,27.8,"not_now",14
128912,"a0 weeks2 weeks$42.50$42.90","accel","Comparative","ss",5657,0.00242600679281902,-0.165693499366327,-0.333333333333333,"2 weeks","0 weeks",42.9,42.5,"now",15
128912,"a2 weeks6 weeks$51.90$57.10","accel","Comparative","ss",4602,-0.0698666666666667,-0.165693499366327,-0.333333333333333,"6 weeks","2 weeks",57.1,51.9,"not_now",16
128912,"a2 weeks4 weeks$55.20$82.80","accel","Comparative","ll",6700,0.020746887966805,-0.165693499366327,-1,"4 weeks","2 weeks",82.8,55.2,"not_now",17
128912,"a2 weeks4 weeks$35.10$43.90","accel","Comparative","ss",4646,-0.142226148409894,-0.165693499366327,-0.5,"4 weeks","2 weeks",43.9,35.1,"not_now",18
128912,"b0 weeks2 weeks$45.70$47.10","delay","Comparative","ss",6282,0.0920060331825038,-0.165693499366327,1,"2 weeks","0 weeks",47.1,45.7,"now",19
128912,"b0 weeks4 weeks$31.40$42.40","delay","Comparative","ss",6402,-0.113535629048756,-0.165693499366327,1,"4 weeks","0 weeks",42.4,31.4,"now",20
128912,"b2 weeks6 weeks$44.20$66.30","delay","Comparative","ss",9654,0.260761176666113,-0.165693499366327,0.333333333333333,"6 weeks","2 weeks",66.3,44.2,"not_now",21
128912,"b2 weeks6 weeks$44.80$51.50","delay","Comparative","ss",8182,-0.12290994426518,-0.165693499366327,0.333333333333333,"6 weeks","2 weeks",51.5,44.8,"not_now",22
128912,"b0 weeks4 weeks$36.10$37.90","delay","Comparative","ss",7027,0.0138996138996139,-0.165693499366327,1,"4 weeks","0 weeks",37.9,36.1,"now",23
128912,"b0 weeks2 weeks$55.30$69.10","delay","Comparative","ll",6626,-0.0314274895872775,-0.165693499366327,1,"2 weeks","0 weeks",69.1,55.3,"now",24
128912,"b2 weeks4 weeks$19.60$19.80","delay","Comparative","ss",5900,-0.0958904109589041,-0.165693499366327,1,"4 weeks","2 weeks",19.8,19.6,"not_now",25
128912,"b0 weeks2 weeks$46.10$50.70","delay","Comparative","ss",6825,-0.248797250859107,-0.165693499366327,0.2,"2 weeks","0 weeks",50.7,46.1,"now",26
128912,"b2 weeks4 weeks$33.60$45.40","delay","Comparative","ss",7459,-0.0626932808546528,-0.165693499366327,1,"4 weeks","2 weeks",45.4,33.6,"not_now",27
128912,"b2 weeks4 weeks$42.90$44.20","delay","Comparative","ss",5655,-0.0926464478604071,-0.165693499366327,1,"4 weeks","2 weeks",44.2,42.9,"not_now",28
128912,"b0 weeks4 weeks$43.90$44.30","delay","Comparative","ss",6980,0.270227054685002,-0.165693499366327,-0.6,"4 weeks","0 weeks",44.3,43.9,"now",29
128912,"b2 weeks4 weeks$51.30$56.40","delay","Comparative","ss",5765,-0.134784622510422,-0.165693499366327,1,"4 weeks","2 weeks",56.4,51.3,"not_now",30
128912,"b2 weeks6 weeks$48.70$51.10","delay","Comparative","ss",6241,0.158206429780034,-0.165693499366327,-1,"6 weeks","2 weeks",51.1,48.7,"not_now",31
128912,"b2 weeks4 weeks$15.70$18.80","delay","Comparative","ss",5448,0.0170428374021188,-0.165693499366327,-1,"4 weeks","2 weeks",18.8,15.7,"not_now",32
128912,"b2 weeks6 weeks$68.30$85.40","delay","Comparative","ss",5286,0.00491803278688525,-0.165693499366327,-1,"6 weeks","2 weeks",85.4,68.3,"not_now",33
128912,"b0 weeks4 weeks$42.40$48.80","delay","Comparative","ss",5078,0.260869565217391,-0.165693499366327,0.333333333333333,"4 weeks","0 weeks",48.8,42.4,"now",34
128912,"b0 weeks4 weeks$62.10$74.50","delay","Comparative","ss",6504,0.0149253731343284,-0.165693499366327,-1,"4 weeks","0 weeks",74.5,62.1,"now",35
128912,"b0 weeks2 weeks$22.10$33.20","delay","Comparative","ss",5065,-0.000982318271119843,-0.165693499366327,-1,"2 weeks","0 weeks",33.2,22.1,"now",36
128913,"a2 weeks4 weeks$35.10$43.90","accel","Comparative","ll",13160,0.055195530726257,-0.59094296973308,0.5,"4 weeks","2 weeks",43.9,35.1,"not_now",18
128913,"a2 weeks6 weeks$33.30$34.30","accel","Comparative","ss",9481,0.490930835160454,-0.59094296973308,-0.2,"6 weeks","2 weeks",34.3,33.3,"not_now",13
128913,"a0 weeks2 weeks$62.90$75.50","accel","Comparative","ll",12304,0.311750599520384,-0.59094296973308,0.2,"2 weeks","0 weeks",75.5,62.9,"now",11
128913,"a2 weeks6 weeks$51.90$57.10","accel","Comparative","ll",7683,-0.37151248164464,-0.59094296973308,0.2,"6 weeks","2 weeks",57.1,51.9,"not_now",16
128913,"a0 weeks2 weeks$52.50$55.10","accel","Comparative","ss",14075,-0.10896898575021,-0.59094296973308,1,"2 weeks","0 weeks",55.1,52.5,"now",9
128913,"a0 weeks4 weeks$57.50$59.20","accel","Comparative","ss",5079,-0.0957264957264957,-0.59094296973308,1,"4 weeks","0 weeks",59.2,57.5,"now",7
128913,"a0 weeks2 weeks$42.50$42.90","accel","Comparative","ss",10103,0.11164369882165,-0.59094296973308,1,"2 weeks","0 weeks",42.9,42.5,"now",15
128913,"a2 weeks4 weeks$54.90$63.10","accel","Comparative","ll",6228,-0.19502353732347,-0.59094296973308,0.333333333333333,"4 weeks","2 weeks",63.1,54.9,"not_now",12
128913,"a0 weeks2 weeks$43.50$58.70","accel","Comparative","ll",7299,-0.266233766233766,-0.59094296973308,0.333333333333333,"2 weeks","0 weeks",58.7,43.5,"now",3
128913,"a2 weeks6 weeks$18.50$22.20","accel","Comparative","ll",11287,-0.229437229437229,-0.59094296973308,1,"6 weeks","2 weeks",22.2,18.5,"not_now",2
128913,"a2 weeks4 weeks$55.20$82.80","accel","Comparative","ll",9545,0.242710472279261,-0.59094296973308,-1,"4 weeks","2 weeks",82.8,55.2,"not_now",17
128913,"a0 weeks4 weeks$24.70$27.20","accel","Comparative","ll",5951,0.278038952316991,-0.59094296973308,1,"4 weeks","0 weeks",27.2,24.7,"now",4
128913,"a0 weeks4 weeks$57.70$72.10","accel","Comparative","ll",10592,0.202544529262087,-0.59094296973308,-1,"4 weeks","0 weeks",72.1,57.7,"now",5
128913,"a0 weeks4 weeks$27.10$40.70","accel","Comparative","ll",6092,0.0673530673530674,-0.59094296973308,-1,"4 weeks","0 weeks",40.7,27.1,"now",6
128913,"a2 weeks6 weeks$56.20$75.90","accel","Comparative","ll",5604,0.36483780536644,-0.59094296973308,-1,"6 weeks","2 weeks",75.9,56.2,"not_now",10
128913,"a0 weeks2 weeks$15.10$17.40","accel","Comparative","ll",11797,-0.0708938793483047,-0.59094296973308,-1,"2 weeks","0 weeks",17.4,15.1,"now",8
128913,"a2 weeks6 weeks$27.80$28.10","accel","Comparative","ss",7143,0.0330265295073092,-0.59094296973308,1,"6 weeks","2 weeks",28.1,27.8,"not_now",14
128913,"a2 weeks4 weeks$53.10$55.80","accel","Comparative","ll",6049,0.166607206564395,-0.59094296973308,-1,"4 weeks","2 weeks",55.8,53.1,"not_now",1
128913,"b2 weeks6 weeks$68.30$85.40","delay","Comparative","ll",5057,0.241830065359477,-0.59094296973308,1,"6 weeks","2 weeks",85.4,68.3,"not_now",33
128913,"b0 weeks4 weeks$31.40$42.40","delay","Comparative","ll",4681,0.112182296231376,-0.59094296973308,0,"4 weeks","0 weeks",42.4,31.4,"now",20
128913,"b2 weeks4 weeks$42.90$44.20","delay","Comparative","ss",6404,0.036911615306468,-0.59094296973308,-0.5,"4 weeks","2 weeks",44.2,42.9,"not_now",28
128913,"b2 weeks6 weeks$44.80$51.50","delay","Comparative","ll",4720,0.209929843497032,-0.59094296973308,0,"6 weeks","2 weeks",51.5,44.8,"not_now",22
128913,"b2 weeks4 weeks$15.70$18.80","delay","Comparative","ll",7743,0.222545031958164,-0.59094296973308,-1,"4 weeks","2 weeks",18.8,15.7,"not_now",32
128913,"b2 weeks6 weeks$44.20$66.30","delay","Comparative","ll",7413,-0.116694214876033,-0.59094296973308,-0.5,"6 weeks","2 weeks",66.3,44.2,"not_now",21
