dstyle,ustyle,mse,mae,log_loss,accuracy,pred_ll
attention,power,0.12451991812325469,0.3329561196488755,0.42067793224572614,0.932,0.238
attention_uni,power,0.12684537960201497,0.33667458522974936,0.42625133409953936,0.924,0.23
trade,power,0.11508078766245645,0.3217012467623001,0.40211804702631276,0.923,0.237
hbmd,power,0.12888281533768003,0.34040401617625354,0.43164257808016776,0.919,0.315
trade,cara,0.12133066277205384,0.3295443402145752,0.41579586029149496,0.917,0.285
hbmd,cara,0.1390599894306611,0.3535227196925259,0.45530298734324937,0.873,0.247
attention_uni,cara,0.13416942776495303,0.3440030080043355,0.4420797523860588,0.868,0.158
quasihb_fc,cara,0.1668811266307997,0.3928090263992961,0.517485556369882,0.831,0.287
quasihb,cara,0.1587989864869002,0.37785883261570347,0.4977772423751533,0.831,0.305
quasihb_fc,power,0.1631201345097824,0.38612688401503453,0.5085222458463402,0.829,0.287
quasihb,power,0.1631201345097824,0.38612688401503453,0.5085222458463402,0.829,0.287
hb2,power,0.16305611696329114,0.3858631368974541,0.508361808981842,0.827,0.285
hb,cara,0.1555442296564417,0.3703954384434684,0.48925677372072945,0.825,0.277
hce,cara,0.16135664177309045,0.3817141779164121,0.5030086083633366,0.824,0.34
hb,power,0.16372473586984274,0.3867447048236801,0.5097241483401743,0.823,0.285
expo,power,0.16502958511486535,0.38862356773105533,0.512711082135832,0.821,0.291
hce,power,0.16906501585314435,0.39578851231794315,0.5223853266663018,0.82,0.28
expo,cara,0.15585711018197532,0.37025269123982674,0.489752773453479,0.82,0.28
attention,cara,0.16076271231884087,0.3488339285241152,0.49442507897494975,0.759,0.039
hb2,cara,0.163737775868769,0.33355722755690065,0.49967011263034716,0.757,0.057
expo2,cara,0.17113620455979342,0.29862383135998394,0.5331155120964123,0.748,0.044
expo2,power,0.18627268662977783,0.2972499126361262,0.5948310213551905,0.732,0.016
