dstyle,ustyle,mse,mae,log_loss,accuracy,pred_ll
quasihb_fc,power,0.10349054245761989,0.29674729057885246,0.3694396162481254,0.942,0.304
quasihb,power,0.12899679000715747,0.3413281228058352,0.43372875001362377,0.933,0.315
hbmd,power,0.12098543852015985,0.32879974750735597,0.4137725950694768,0.916,0.206
hb,power,0.12876981644315594,0.34077692989115627,0.43306010360962127,0.914,0.346
expo,power,0.11495888383029555,0.31346249474455784,0.39680229922115356,0.914,0.346
attention_uni,power,0.11388493814853015,0.3114364544761035,0.39321403685199857,0.911,0.217
hce,power,0.11828233863468518,0.32056180169013193,0.405106736379599,0.911,0.265
trade,power,0.11810249040266783,0.32619506814220056,0.40936933946513854,0.898,0.202
attention,power,0.15863320370306297,0.3801898014024199,0.4962037527066415,0.82,0.128
attention,cara,0.18544069031256183,0.41462970000951743,0.5589211552671729,0.777,0.099
hbmd,cara,0.18732470026676917,0.4170813516766533,0.5628962408205489,0.764,0.086
quasihb,cara,0.18583376419814374,0.4137321409111415,0.5595451265060651,0.761,0.111
attention_uni,cara,0.1872470604539261,0.41681483367407524,0.5626845420101826,0.761,0.079
hb,cara,0.18842445048845047,0.4179323596293349,0.5650782731658105,0.759,0.077
quasihb_fc,cara,0.18584839390460792,0.41377194388359856,0.5595839584241005,0.758,0.118
hce,cara,0.19052829908108987,0.4204625591994451,0.5694319416563207,0.756,0.06
expo2,cara,0.21890515324624676,0.2579041946520622,1.0008954720963408,0.748,0.032
expo,cara,0.19054571763743586,0.4204470263130718,0.5694658378036179,0.747,0.043
hb2,cara,0.20218124990935393,0.2771445471339839,0.6551888695998302,0.743,0.037
trade,cara,0.1926555737904465,0.4215126806645496,0.5736198280512459,0.724,0.002
expo2,power,0.2779999341241613,0.2779999764763211,6.895342377770141,0.722,0.0
hb2,power,0.2779986304222459,0.2779995327200927,6.033632431500515,0.722,0.0
