dstyle,ustyle,mse,mae,log_loss,accuracy,pred_ll
trade,power,0.10298801795000888,0.304443656389616,0.3745550833043677,0.957,0.228
hbmd,power,0.11509436514781055,0.3211376455198856,0.400893830294854,0.95,0.203
quasihb_fc,power,0.113380652819818,0.3162419475436524,0.39590724480658346,0.934,0.209
quasihb,power,0.12501726134232619,0.33800131577809134,0.4257223608222822,0.934,0.209
hce,power,0.13396058728112759,0.35117434808233405,0.44639036960418504,0.927,0.224
hb,power,0.1286394009510621,0.34174585180821226,0.433188157112892,0.927,0.224
expo,power,0.13266530988348643,0.3489591849357272,0.4433243181885501,0.918,0.253
attention_uni,power,0.13854103803147313,0.3497271990845863,0.4512882801926981,0.878,0.137
attention,power,0.15298724115868648,0.3685016141454509,0.4816474399984286,0.859,0.126
trade,cara,0.15169162797841598,0.3677403849657687,0.4844932484913516,0.843,0.102
attention,cara,0.18324677827433658,0.4090055152226344,0.554277312932455,0.793,0.074
hbmd,cara,0.18535006630761147,0.4131635091463414,0.5588568697668702,0.784,0.069
attention_uni,cara,0.18503511339109505,0.4127495063766036,0.5582239994618035,0.783,0.07
hb2,cara,0.1822348030161105,0.4032232191289693,0.5508203030777361,0.779,0.036
quasihb,cara,0.18664315298347844,0.4146955967460656,0.561603380218334,0.779,0.068
quasihb_fc,cara,0.18664315298347842,0.4146955967460656,0.561603380218334,0.779,0.068
hb,cara,0.18703169349050147,0.41531048266840215,0.5623746143195196,0.777,0.07
hce,cara,0.1873302420983349,0.4154967380957171,0.5630826895784478,0.774,0.073
expo,cara,0.18726462798634083,0.4153682912971226,0.5629351559143072,0.774,0.073
expo2,cara,0.18258560967063722,0.38932185463666574,0.548290832997576,0.772,0.017
expo2,power,0.24434670485458623,0.2448035593572284,2.655792556738992,0.755,0.0
hb2,power,0.2449207803646755,0.24497647193879554,3.676614330850489,0.755,0.0
